Service ID,Model,Subtype,Service Center,EmployeeID,CustomerID,Date,Time
1,Model X,Standard,13,153,33,41751,11
2,Model 3,Standard,143,151,35,41385,18
3,Model X,Long Range,53,171,172,42001,9
4,Model S,Standard,129,105,169,42103,10
5,Model 3,Standard,34,132,89,42101,16
6,Model X,Standard,82,183,177,41103,16
7,Model 3,Long Range,180,144,96,41126,12
8,Model X,Standard,151,122,141,42250,14
9,Model S,Long Range,187,149,104,41208,16
10,Model X,Long Range,40,185,88,41234,15
11,Model S,Standard,1,163,91,42458,17
12,Model 3,Standard,93,118,35,41948,15
13,Model X,Standard,188,112,171,41494,15
14,Model S,Long Range,128,125,194,42233,18
15,Model S,Standard,127,147,79,42095,17
16,Model X,Standard,131,163,51,40923,10
17,Model 3,Standard,95,118,113,42061,15
18,Model X,Long Range,96,180,166,41113,11
19,Model 3,Standard,95,123,83,41972,16
20,Model S,Long Range,89,106,8,41591,16
21,Model S,Long Range,72,166,146,41628,12
22,Model 3,Long Range,32,158,96,42005,13
23,Model S,Long Range,102,143,74,40985,11
24,Model S,Long Range,86,114,134,42265,16
25,Model S,Long Range,1,167,62,41580,14
26,Model X,Standard,87,141,3,42461,9
27,Model S,Long Range,101,136,116,40934,15
28,Model X,Standard,118,146,165,41527,11
29,Model X,Long Range,144,147,124,41563,9
30,Model S,Long Range,158,131,26,41933,10
31,Model X,Long Range,175,144,82,41347,11
32,Model X,Standard,131,149,189,42719,17
33,Model X,Standard,18,171,57,42533,12
34,Model 3,Standard,92,162,29,42441,19
35,Model 3,Long Range,90,147,180,42053,16
36,Model X,Long Range,157,172,154,41888,8
37,Model 3,Long Range,115,169,132,42310,13
38,Model 3,Standard,147,177,35,42213,10
39,Model S,Long Range,146,158,122,41406,17
40,Model X,Long Range,54,160,124,40991,12
41,Model 3,Standard,16,123,101,41297,14
42,Model S,Long Range,11,171,14,40824,14
43,Model 3,Standard,176,150,95,42079,10
44,Model X,Standard,99,199,135,40910,12
45,Model 3,Long Range,117,101,18,41699,18
46,Model S,Long Range,66,102,2,41962,12
47,Model S,Standard,72,171,175,42303,10
48,Model 3,Long Range,13,110,54,40842,11
49,Model S,Standard,19,199,175,41011,14
50,Model S,Standard,152,188,37,42275,17
51,Model X,Long Range,134,196,46,42316,15
52,Model 3,Long Range,74,192,144,41408,17
53,Model X,Long Range,157,178,34,41088,9
54,Model X,Standard,32,199,39,41058,9
55,Model 3,Long Range,41,179,168,42156,10
56,Model S,Long Range,109,146,194,41361,16
57,Model 3,Standard,170,184,23,41979,11
58,Model S,Long Range,172,110,44,41008,12
59,Model S,Long Range,155,192,86,42043,10
60,Model 3,Long Range,133,162,54,42300,19
61,Model S,Standard,147,144,145,41433,15
62,Model S,Standard,90,196,187,41529,16
63,Model X,Standard,32,145,165,42146,18
64,Model 3,Long Range,72,102,96,41512,9
65,Model S,Standard,94,170,115,42284,17
66,Model X,Standard,89,161,189,42046,11
67,Model S,Long Range,15,173,32,40861,9
68,Model 3,Long Range,45,170,54,41900,11
69,Model S,Long Range,149,115,194,41161,17
70,Model S,Standard,186,190,91,42093,10
71,Model X,Long Range,111,179,94,42137,16
72,Model S,Long Range,22,101,38,41779,11
73,Model X,Standard,177,156,189,41269,11
74,Model 3,Standard,127,199,59,41401,10
75,Model 3,Long Range,143,175,84,42006,15
76,Model X,Long Range,17,150,154,40896,15
77,Model X,Long Range,104,168,196,42716,13
78,Model 3,Standard,62,154,149,42341,18
79,Model 3,Long Range,46,137,18,41936,10
80,Model X,Long Range,30,166,82,42228,16
81,Model 3,Long Range,58,129,60,42226,11
82,Model S,Long Range,55,137,152,41959,9
83,Model X,Long Range,103,166,184,42433,19
84,Model S,Long Range,3,131,68,42397,11
85,Model 3,Long Range,17,132,30,42176,15
86,Model S,Standard,135,103,85,42079,18
87,Model S,Long Range,91,102,26,41869,18
88,Model X,Standard,7,163,45,42658,11
89,Model X,Standard,185,185,135,41962,8
90,Model 3,Long Range,183,191,30,41257,18
91,Model 3,Long Range,55,185,132,41756,18
92,Model X,Standard,93,101,177,42303,13
93,Model X,Standard,112,177,3,41172,15
94,Model S,Standard,22,163,25,41237,9
95,Model X,Standard,187,199,87,41215,16
96,Model X,Long Range,109,102,22,41008,13
97,Model X,Long Range,118,157,46,41801,18
98,Model X,Long Range,72,172,34,41970,18
99,Model S,Long Range,56,187,44,41592,15
100,Model S,Long Range,155,169,176,41090,13
101,Model X,Standard,26,117,135,41333,9
102,Model X,Standard,101,116,9,40974,12
103,Model S,Long Range,40,147,194,41585,11
104,Model S,Standard,110,150,115,41098,14
105,Model X,Long Range,9,110,10,42275,11
106,Model S,Long Range,114,187,104,42316,9
107,Model S,Standard,40,185,163,41088,14
108,Model X,Standard,81,142,9,42367,14
109,Model S,Standard,79,156,55,42047,17
110,Model 3,Standard,91,152,77,40821,19
111,Model X,Long Range,36,117,172,42017,12
112,Model S,Long Range,185,161,194,41520,11
113,Model X,Long Range,24,106,88,42156,17
114,Model X,Long Range,34,193,172,42320,10
115,Model S,Standard,144,147,121,40866,13
116,Model X,Standard,14,127,3,41979,8
117,Model X,Long Range,81,199,10,41582,17
118,Model S,Long Range,32,163,182,41330,12
119,Model 3,Standard,179,129,185,41312,14
120,Model S,Standard,46,159,121,41967,13
121,Model S,Standard,150,173,199,42043,12
122,Model X,Standard,183,177,159,42300,9
123,Model X,Standard,146,192,51,42392,16
124,Model 3,Standard,108,137,137,42488,17
125,Model X,Long Range,56,115,88,42146,19
126,Model X,Standard,123,173,117,41153,10
127,Model S,Standard,80,146,121,41159,9
128,Model 3,Long Range,20,132,180,40919,9
129,Model 3,Long Range,39,155,102,41184,16
130,Model X,Long Range,175,138,142,41145,13
131,Model 3,Standard,30,117,23,42471,8
132,Model S,Standard,151,103,73,41387,10
133,Model X,Standard,122,109,195,42284,15
134,Model S,Long Range,65,111,92,41644,8
135,Model S,Long Range,151,104,176,42046,8
136,Model S,Long Range,32,190,80,41820,10
137,Model S,Long Range,145,128,110,40912,18
138,Model 3,Long Range,51,111,72,41900,11
139,Model 3,Standard,66,143,95,42120,14
140,Model 3,Standard,83,194,53,40941,14
141,Model 3,Long Range,101,151,96,41153,8
142,Model S,Standard,69,165,37,40923,18
143,Model 3,Standard,150,106,191,42093,17
144,Model 3,Standard,81,192,197,41344,13
145,Model X,Long Range,79,173,82,41745,11
146,Model S,Long Range,71,147,62,42137,12
147,Model X,Long Range,158,140,160,41777,15
148,Model S,Standard,169,114,109,41448,17
149,Model 3,Standard,13,144,143,40852,19
150,Model S,Long Range,3,200,146,41779,18
151,Model X,Long Range,59,126,124,42228,16
152,Model 3,Standard,65,188,77,42360,12
153,Model 3,Long Range,34,156,48,42006,14
154,Model X,Standard,70,107,3,41855,15
155,Model 3,Standard,11,116,41,42716,14
156,Model 3,Standard,13,171,41,42341,12
157,Model X,Long Range,172,159,40,41936,8
158,Model 3,Long Range,188,172,12,41413,8
159,Model X,Standard,84,155,141,41585,18
160,Model 3,Standard,79,131,131,42228,19
161,Model 3,Long Range,55,106,72,41327,18
162,Model S,Long Range,32,162,110,42226,18
163,Model X,Long Range,183,184,28,41959,12
164,Model 3,Long Range,90,139,66,41247,19
165,Model S,Long Range,181,142,2,41623,14
166,Model X,Standard,96,146,9,42433,19
167,Model X,Long Range,60,133,106,42397,10
168,Model S,Standard,102,102,97,42176,19
