CustomerID,Model,Subtype,Date,Vin
1,Model S,Standard,6/18/17,3160139
2,Model S,Long Range,3/20/13,9806094
3,Model X,Standard,7/31/17,876587
4,Model X,Long Range,2/15/13,70795
5,Model 3,Standard,11/18/14,8876160
6,Model 3,Long Range,2/8/16,7016086
7,Model S,Standard,6/26/14,5170649
8,Model S,Long Range,7/9/15,6366934
9,Model X,Standard,6/25/16,113919
10,Model X,Long Range,7/4/18,896135
11,Model 3,Standard,12/6/16,3677532
12,Model 3,Long Range,10/25/16,2807785
13,Model S,Standard,1/25/17,7806041
14,Model S,Long Range,3/19/15,1276219
15,Model X,Standard,6/7/14,7546070
16,Model X,Long Range,9/1/16,9721318
17,Model 3,Standard,3/2/14,3872224
18,Model 3,Long Range,4/11/12,179054
19,Model S,Standard,3/20/17,8572155
20,Model S,Long Range,4/10/18,8056905
21,Model X,Standard,12/29/14,5386982
22,Model X,Long Range,3/12/14,4870984
23,Model 3,Standard,10/28/16,8224628
24,Model 3,Long Range,4/8/12,3869156
25,Model S,Standard,7/27/12,683245
26,Model S,Long Range,6/17/15,8792277
27,Model X,Standard,5/7/17,2715787
28,Model X,Long Range,6/27/18,51879
29,Model 3,Standard,6/5/13,3862438
30,Model 3,Long Range,3/11/14,7909108
31,Model S,Standard,1/21/15,6973010
32,Model S,Long Range,8/26/14,1297759
33,Model X,Standard,11/8/12,7716194
34,Model X,Long Range,8/3/14,2403825
35,Model 3,Standard,2/11/17,3476340
36,Model 3,Long Range,8/1/15,7207978
37,Model S,Standard,10/27/14,7083559
38,Model S,Long Range,4/21/17,9112186
39,Model X,Standard,11/10/14,1041471
40,Model X,Long Range,1/2/16,3829823
41,Model 3,Standard,2/14/14,5451424
42,Model 3,Long Range,4/18/17,1069795
43,Model S,Standard,2/12/17,3649286
44,Model S,Long Range,9/6/14,9769411
45,Model X,Standard,8/29/12,4632155
46,Model X,Long Range,6/18/14,1937589
47,Model 3,Standard,4/18/15,8452152
48,Model 3,Long Range,12/8/15,3722456
49,Model S,Standard,1/30/18,8208457
50,Model S,Long Range,6/9/17,4452670
