EmployeeID,StoreID
1,43
2,246
3,72
4,106
5,57
6,135
7,238
8,109
9,155
10,82
11,118
12,51
13,75
14,166
15,142
16,156
17,206
18,21
19,98
20,209
21,134
22,213
23,26
24,31
25,138
26,3
27,177
28,161
29,139
30,234
31,133
32,52
33,103
34,103
35,30
36,76
37,66
38,108
39,176
40,132
41,94
42,172
43,162
44,56
45,55
46,134
47,136
48,100
49,51
50,126
51,243
52,180
53,53
54,187
55,238
56,186
57,123
58,49
59,152
60,123
61,22
62,146
63,11
64,35
65,1
66,83
67,189
68,107
69,239
70,232
71,128
72,208
73,239
74,188
75,95
76,12
77,43
78,5
79,209
80,151
81,135
82,46
83,11
84,110
85,52
86,70
87,32
88,196
89,47
90,65
91,31
92,202
93,108
94,34
95,203
96,225
97,52
98,237
99,225
