Model,Subtype,Country,Waittime (Weeks),Price ($)
Model S,Standard,China Mainland,7,146300
Model S,Long Range,China Mainland,7,161500
Model X,Standard,China Mainland,7,153900
Model X,Long Range,China Mainland,7,169100
Model 3,Standard,China Mainland,7,76000
Model 3,Long Range,China Mainland,7,95000
Model S,Standard,Hong Kong S.A.R. China,6,130900
Model S,Long Range,Hong Kong S.A.R. China,6,144500
Model X,Standard,Hong Kong S.A.R. China,6,137700
Model X,Long Range,Hong Kong S.A.R. China,6,151300
Model 3,Standard,Hong Kong S.A.R. China,6,68000
Model 3,Long Range,Hong Kong S.A.R. China,6,85000
Model S,Standard,Japan,5,138600
Model S,Long Range,Japan,5,153000
Model X,Standard,Japan,5,145800
Model X,Long Range,Japan,5,160200
Model 3,Standard,Japan,5,72000
Model 3,Long Range,Japan,5,90000
Model S,Standard,Macao S.A.R. China,5,130900
Model S,Long Range,Macao S.A.R. China,5,144500
Model X,Standard,Macao S.A.R. China,5,137700
Model X,Long Range,Macao S.A.R. China,5,151300
Model 3,Standard,Macao S.A.R. China,5,68000
Model 3,Long Range,Macao S.A.R. China,5,85000
Model S,Standard,New Zealand,4,138600
Model S,Long Range,New Zealand,4,153000
Model X,Standard,New Zealand,4,145800
Model X,Long Range,New Zealand,4,160200
Model 3,Standard,New Zealand,4,72000
Model 3,Long Range,New Zealand,4,90000
Model S,Standard,South Korea,8,115500
Model S,Long Range,South Korea,8,127500
Model X,Standard,South Korea,8,121500
Model X,Long Range,South Korea,8,133500
Model 3,Standard,South Korea,8,60000
Model 3,Long Range,South Korea,8,75000
Model S,Standard,Taiwan,8,123200
Model S,Long Range,Taiwan,8,136000
Model X,Standard,Taiwan,8,129600
Model X,Long Range,Taiwan,8,142400
Model 3,Standard,Taiwan,8,64000
Model 3,Long Range,Taiwan,8,80000
Model S,Standard,Jordan,5,92400
Model S,Long Range,Jordan,5,102000
Model X,Standard,Jordan,5,97200
Model X,Long Range,Jordan,5,106800
Model 3,Standard,Jordan,5,48000
Model 3,Long Range,Jordan,5,60000
Model S,Standard,United Arab Emirates,9,146300
Model S,Long Range,United Arab Emirates,9,161500
Model X,Standard,United Arab Emirates,9,153900
Model X,Long Range,United Arab Emirates,9,169100
Model 3,Standard,United Arab Emirates,9,76000
Model 3,Long Range,United Arab Emirates,9,95000
Model S,Standard,US,2,77000
Model S,Long Range,US,2,85000
Model X,Standard,US,2,81000
Model X,Long Range,US,2,89000
Model 3,Standard,US,2,40000
Model 3,Long Range,US,2,50000
Model S,Standard,Mexico,3,92400
Model S,Long Range,Mexico,3,102000
Model X,Standard,Mexico,3,97200
Model X,Long Range,Mexico,3,106800
Model 3,Standard,Mexico,3,48000
Model 3,Long Range,Mexico,3,60000
Model S,Standard,Canada,2,84700
Model S,Long Range,Canada,2,93500
Model X,Standard,Canada,2,89100
Model X,Long Range,Canada,2,97900
Model 3,Standard,Canada,2,44000
Model 3,Long Range,Canada,2,55000
Model S,Standard,Austria,4,107800
Model S,Long Range,Austria,4,119000
Model X,Standard,Austria,4,113400
Model X,Long Range,Austria,4,124600
Model 3,Standard,Austria,4,56000
Model 3,Long Range,Austria,4,70000
Model S,Standard,Belgium,4,107800
